epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,360.065,1.06002,3.81887,0.19219,1.02367,1.24018,0.88889,0.65574,0.65003,0.41566,0.82222,0.60656,0.54076,0.18904,1.17806,3.50456,0.01283,0.91053,1.36003,0.0006536,0.0006536,0.0006536
104,363.672,1.08268,3.94127,0.21162,1.07166,1.31266,0.91133,0.63934,0.6335,0.38835,0.8357,0.59016,0.53728,0.20382,1.2522,3.40132,0.01236,0.92147,1.41431,0.0006404,0.0006404,0.0006404
105,367.161,0.99665,3.62549,0.17839,1.04118,1.2885,0.90698,0.63934,0.63197,0.35518,0.88372,0.62295,0.60594,0.2334,1.35154,3.282,0.01208,0.95265,1.49729,0.0006272,0.0006272,0.0006272
106,370.659,0.99853,3.7386,0.20236,1.19081,1.30916,0.90698,0.63934,0.63257,0.35081,0.7907,0.55738,0.51737,0.14254,1.37613,3.55382,0.01246,0.97626,1.52762,0.000614,0.000614,0.000614
107,374.14,1.03904,3.78404,0.18986,1.062,1.30582,0.90698,0.63934,0.63257,0.35081,0.7907,0.55738,0.51737,0.14254,1.37613,3.55382,0.01246,0.97626,1.52762,0.0006008,0.0006008,0.0006008
108,377.602,1.05264,3.9529,0.21989,1.10202,1.3346,0.90698,0.63934,0.63305,0.34468,0.74419,0.52459,0.42042,0.08636,1.34707,3.7609,0.01255,0.95809,1.51143,0.0005876,0.0005876,0.0005876
109,381.079,1.01371,3.66491,0.20775,1.10983,1.26959,0.93845,0.63934,0.63062,0.34598,0.81814,0.55738,0.49258,0.13621,1.35157,3.4944,0.01139,0.94644,1.51233,0.0005744,0.0005744,0.0005744
110,384.542,0.98592,3.60588,0.18505,1.06027,1.26281,0.93898,0.63934,0.62748,0.34949,0.86675,0.59016,0.54758,0.18673,1.33709,3.23965,0.01111,0.9316,1.50149,0.0005612,0.0005612,0.0005612
111,388.013,1.00494,3.50776,0.20572,1.04716,1.25052,0.93897,0.63934,0.6271,0.33645,0.92307,0.62295,0.61795,0.23982,1.3836,3.00143,0.01114,0.92503,1.52289,0.000548,0.000548,0.000548
112,391.517,1.00414,3.34185,0.20877,1.04148,1.28759,0.90909,0.65574,0.64748,0.30813,0.91993,0.62295,0.62026,0.27092,1.51758,2.90351,0.011,0.98872,1.61632,0.0005348,0.0005348,0.0005348
113,395.034,1.0773,3.71468,0.22993,1.12325,1.33386,0.92979,0.65133,0.65235,0.27206,0.91576,0.62295,0.62194,0.28328,1.67452,2.83303,0.01072,1.06447,1.74809,0.0005216,0.0005216,0.0005216
114,398.536,1.03058,3.47178,0.18683,1.05724,1.30014,0.92983,0.65176,0.6536,0.26966,0.91178,0.62295,0.62242,0.27074,1.67547,2.79548,0.01063,1.06078,1.74188,0.0005084,0.0005084,0.0005084
115,401.993,1.03713,3.25129,0.19098,1.02123,1.27744,0.92988,0.65225,0.6536,0.31135,0.90559,0.62295,0.61972,0.27631,1.52516,2.77243,0.01102,0.99935,1.61754,0.0004952,0.0004952,0.0004952
116,405.456,1.02169,3.6423,0.1947,1.03973,1.27836,0.93392,0.63934,0.65318,0.3442,0.90567,0.62295,0.61972,0.28248,1.39301,2.76564,0.01111,0.9221,1.5172,0.000482,0.000482,0.000482
